DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
04/10/2015,3.67438749,4.260034818,4.258942066,4.262760038,4.191294338,4.077900983,3.917593648,3.91599262,4.239357013,4.10227974,3.939614978,3.898577129,3.912374731,3.911006663,3.869270729,3.812100186,3.678589516
04/11/2015,2.839471783,3.273471946,3.250370896,3.329298714,3.252729322,3.35221209,3.123924564,3.120766513,3.289528278,3.170024088,3.182084332,3.296204446,3.359893132,3.261119118,3.221996363,3.172105134,3.172116107
04/12/2015,2.218354252,2.746805485,2.772714854,2.878003844,2.825011613,3.121825134,3.056129634,3.05290249,3.033327677,2.918215402,3.179814588,3.366404628,3.466866402,3.312284329,3.253167084,2.984034845,3.365070549
04/13/2015,3.080583001,3.577575711,3.535640892,3.607734176,3.543853817,3.682866997,3.504984123,3.50226323,3.716158486,3.563849538,3.586444058,3.55698011,3.570175872,3.552785752,3.478782362,3.401025285,3.361291334
04/14/2015,2.299111023,2.746863792,2.736741241,2.795639688,2.729898416,2.896636961,2.718764566,2.714850623,2.776063031,2.681542815,2.812633602,3.018372409,3.113312081,2.994710268,2.95160704,2.699753898,3.040028621
04/15/2015,2.328382924,2.776175837,2.78377554,2.869561268,2.814942878,3.051299969,2.960221849,2.95633816,2.964991852,2.881581403,3.067273655,3.263066513,3.36079546,3.209546231,3.17376281,2.885191896,3.306941077
04/16/2015,3.175286937,3.765939048,3.830031263,3.861427843,3.854165833,4.096141196,3.900431996,3.898279664,3.952253989,3.817581338,3.898139268,4.025323438,4.106811968,4.015731403,4.022569136,3.888875637,4.130584318
04/17/2015,4.202510417,4.754378975,4.757971468,4.762285137,4.724703257,4.672323132,4.459780374,4.458172951,4.76723588,4.616835503,4.411678653,4.251328335,4.228657964,4.303129144,4.308161115,4.446316871,4.104402173
04/18/2015,4.86365303,5.226733562,5.098193476,5.107428932,4.952844679,4.632503562,4.339785114,4.337747428,5.023247203,4.777721743,4.254294077,4.037770926,3.980272215,4.155969033,4.218911551,4.293715668,3.94124613
04/19/2015,6.239949396,6.795992139,6.631140976,6.611165237,6.446215269,5.960096337,5.452475242,5.452584873,6.259946096,5.945753496,5.33241521,4.993124142,4.881341571,5.192043371,5.219485271,5.577373202,4.802060517
04/20/2015,5.039242773,5.22809412,5.18861222,5.139268228,5.074923957,4.837217433,4.446795743,4.444600473,4.927583459,4.790799522,4.316290117,4.110312975,4.0108884,4.269060589,4.301340654,4.477192217,3.977404135
04/21/2015,6.087590479,6.368257229,5.869319728,5.996722569,5.708269211,5.202860406,4.750575574,4.749050844,5.595893158,5.371873795,4.581103954,4.198201191,4.038830316,4.497407239,4.426270152,4.595997185,4.020403498
04/22/2015,3.466390745,3.954264924,3.911030725,3.972221113,3.815770777,3.639513055,3.498597844,3.495199309,3.797804378,3.698608005,3.587455604,3.618635308,3.658083074,3.644024724,3.590467556,3.372048856,3.523666777
04/23/2015,4.101381905,4.520974021,4.511421941,4.599141729,4.49223184,4.430259446,4.091830644,4.089567327,4.475660319,4.292086934,4.128764504,4.11708304,4.153395416,4.112976757,4.046550974,4.151004526,3.913431376
04/24/2015,2.577759554,3.043015887,3.02295345,3.120777827,3.010244625,3.167772152,2.969891915,2.965445503,3.052118693,2.986259172,3.052024434,3.267244554,3.364611873,3.237878077,3.227082782,2.953224648,3.328598913
04/25/2015,2.432280835,2.980880395,2.995176448,3.096563697,3.00586974,3.289990571,3.095945414,3.09158239,3.138166938,3.018698643,3.209812663,3.505421502,3.640423608,3.452402044,3.394698394,3.066314575,3.556355172
04/26/2015,3.324937718,3.903314235,3.889102822,3.930607945,3.847601707,3.849562009,3.77954662,3.776178576,3.951256736,3.824015584,3.885166948,3.989901021,4.060734078,3.963199766,3.896399208,3.618056995,3.845607269
04/27/2015,2.774033689,3.265697023,3.236219306,3.314028807,3.269235168,3.763638945,3.440515201,3.436733695,3.249321709,3.118051249,3.506656548,3.847127824,4.040503327,3.912299567,3.945960633,3.565161256,4.319936768
04/28/2015,5.803170999,6.839619903,6.826027027,6.901884098,6.761567414,6.617125209,6.317226414,6.317772234,6.857129446,6.614463584,6.335834024,6.199907796,6.214233142,6.132514036,5.946408206,6.13663323,5.492151646
04/29/2015,3.5335224,4.108148218,4.176528838,4.198957524,4.068100134,3.959585394,3.733779019,3.730441525,3.961738632,3.892805117,3.817586571,3.953063523,4.04562195,3.973596153,3.928393541,3.633474337,3.918954539
04/30/2015,4.10223014,4.871539959,4.87367287,4.972594289,4.840480691,4.896616919,4.605054848,4.602867648,4.93513592,4.740052358,4.674375342,4.740422404,4.807569265,4.774879175,4.723018945,4.565137181,4.726472255
05/01/2015,5.163811859,5.929428369,5.861821077,5.951625059,5.796053817,5.652405313,5.644660234,5.643941746,5.995484091,5.705869072,5.551538805,5.111928356,4.76134187,5.193372552,5.11039928,5.162936081,4.717808713
05/02/2015,5.228084195,5.790968021,5.651502261,5.634093118,5.478856974,5.018102689,5.005554762,5.003411919,5.540847318,5.283213469,4.965958145,4.658652287,4.388533764,4.703216257,4.655429482,4.577185604,4.316752852
